network_name;original_name;taxon_name;ncbi;tsn;eol;bold;gbif;col;rank
mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional
name of the network of origin;node name as in the raw data;valid taxon name;NCBI ID;TSN;EOL ID;BOLD ID;GBIF ID;COL ID;taxonomic rank
