network;from;to;date;geometry;coordinates;type;method;variable;value;description;unit
mandatory;mandatory;mandatory;optional;optional;optional;mandatory;mandatory;optional;optional;optional;optional
name of the network;original name of node 1; original name of node 2;date of sampling;point or polygon;coordinates as [lon,lat];type of interaction (see doc.);method of establishment;variable for interaction strength;interaction strength;description of the strength variable;unit
