name;date;geometry;coordinates;all_interactions;description
mandatory;optional;optional;optional;mandatory;mandatory
usually prefixed by the dataset name;YYYY-MM-DD with time and timezone if known;point or polygon;points as [lon,lat];true if known absences;network description
